Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK
Date,,,,,,
2004-05-10,393.2280578613281,745.0,765.0,685.0,710.0,58217500
2004-05-17,385.3108215332031,730.0,730.0,675.0,720.0,48990000
2004-05-24,380.0325012207031,720.0,735.0,710.0,730.0,16830000
2004-05-31,385.3108215332031,730.0,730.0,715.0,720.0,8950000
2004-06-07,387.94989013671875,735.0,740.0,725.0,725.0,42230000
2004-06-14,382.6715393066406,725.0,770.0,725.0,735.0,67335000
2004-06-21,406.4236145019531,770.0,770.0,720.0,725.0,107935000
2004-06-28,411.7018737792969,780.0,790.0,755.0,760.0,38037500
2004-07-05,411.7018737792969,780.0,815.0,780.0,780.0,36765000
2004-07-12,406.4236145019531,770.0,795.0,760.0,780.0,29142500
2004-07-19,406.9069519042969,755.0,775.0,755.0,765.0,35475000
2004-07-26,406.9069519042969,755.0,780.0,745.0,750.0,56827500
2004-08-02,409.6016540527344,760.0,775.0,755.0,755.0,41082500
2004-08-09,393.4332580566406,730.0,755.0,725.0,755.0,67087500
2004-08-16,390.7384033203125,725.0,735.0,720.0,730.0,20105000
2004-08-23,363.7909851074219,675.0,725.0,655.0,725.0,311017500
2004-08-30,377.26470947265625,700.0,700.0,660.0,675.0,283910000
2004-09-06,371.87518310546875,690.0,700.0,665.0,700.0,134152500
2004-09-13,374.5700378417969,695.0,700.0,685.0,690.0,136155000
2004-09-20,366.48565673828125,680.0,700.0,675.0,695.0,122215000
2004-09-27,355.7067565917969,660.0,680.0,645.0,680.0,168617500
2004-10-04,336.84344482421875,625.0,670.0,610.0,660.0,235250000
2004-10-11,336.84344482421875,625.0,645.0,620.0,630.0,185895000
2004-10-18,344.92779541015625,640.0,640.0,615.0,625.0,64880000
2004-10-25,353.0119934082031,655.0,665.0,625.0,635.0,158057500
2004-11-01,350.3172607421875,650.0,665.0,645.0,650.0,103432500
2004-11-08,350.3172607421875,650.0,655.0,635.0,650.0,78000000
2004-11-15,350.3172607421875,650.0,650.0,650.0,650.0,0
2004-11-22,344.92779541015625,640.0,670.0,640.0,650.0,148895000
2004-11-29,350.3172607421875,650.0,665.0,645.0,650.0,162607500
2004-12-06,357.9092102050781,650.0,660.0,640.0,650.0,98050000
2004-12-13,366.1686096191406,665.0,665.0,635.0,650.0,91730000
2004-12-20,363.4156188964844,660.0,670.0,660.0,660.0,68900000
2004-12-27,363.4156188964844,660.0,670.0,660.0,665.0,35880000
2005-01-03,366.1686096191406,665.0,675.0,660.0,665.0,41717500
2005-01-10,374.4280090332031,680.0,685.0,660.0,660.0,166120000
2005-01-17,377.18115234375,685.0,690.0,670.0,685.0,67427500
2005-01-24,379.93438720703125,690.0,705.0,680.0,680.0,123800000
2005-01-31,396.45330810546875,720.0,725.0,690.0,690.0,94772500
2005-02-07,388.1938781738281,705.0,720.0,705.0,720.0,11997500
2005-02-14,393.7001037597656,715.0,720.0,700.0,705.0,34572500
2005-02-21,385.4407043457031,700.0,715.0,700.0,715.0,36067500
2005-02-28,401.9597473144531,730.0,735.0,705.0,705.0,60357500
2005-03-07,399.2064514160156,725.0,740.0,710.0,730.0,27662500
2005-03-14,428.2717590332031,765.0,765.0,720.0,720.0,48115000
2005-03-21,422.67340087890625,755.0,780.0,740.0,760.0,33272500
2005-03-28,428.2717590332031,765.0,775.0,720.0,755.0,33692500
2005-04-04,428.2717590332031,765.0,770.0,750.0,755.0,28032500
2005-04-11,425.4724426269531,760.0,780.0,750.0,760.0,17507500
2005-04-18,405.87847900390625,725.0,755.0,720.0,755.0,12295000
2005-04-25,419.8741760253906,750.0,750.0,705.0,720.0,12860000
2005-05-02,422.67340087890625,755.0,770.0,740.0,745.0,20792500
2005-05-09,414.27606201171875,740.0,755.0,730.0,750.0,11012500
2005-05-16,417.0750732421875,745.0,750.0,735.0,740.0,17650000
