Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK
Date,,,,,,
2009-06-01,319.2013854980469,1320.0,1450.0,1260.0,1380.0,509038503
2009-06-08,314.36505126953125,1300.0,1340.0,1270.0,1290.0,397413500
2009-06-15,299.8558654785156,1240.0,1300.0,1150.0,1260.0,305241500
2009-06-22,299.8558654785156,1240.0,1280.0,1050.0,1180.0,184302506
2009-06-29,282.928466796875,1170.0,1260.0,1150.0,1220.0,93274500
2009-07-06,275.6738586425781,1140.0,1220.0,1120.0,1130.0,74942503
2009-07-13,278.092041015625,1150.0,1210.0,1070.0,1100.0,131395000
2009-07-20,292.60125732421875,1210.0,1230.0,1150.0,1150.0,238735000
2009-07-27,309.5285339355469,1280.0,1300.0,1200.0,1250.0,468364000
2009-08-03,350.6379089355469,1450.0,1520.0,1260.0,1280.0,1012306500
2009-08-10,350.6379089355469,1450.0,1520.0,1350.0,1480.0,367390500
2009-08-17,336.12884521484375,1390.0,1450.0,1310.0,1450.0,170781003
2009-08-24,326.45599365234375,1350.0,1450.0,1320.0,1440.0,366454000
2009-08-31,326.8121643066406,1340.0,1420.0,1320.0,1360.0,373956500
2009-09-07,334.12890625,1370.0,1400.0,1310.0,1330.0,282976000
2009-09-14,339.0066833496094,1390.0,1420.0,1340.0,1350.0,293628500
2009-09-21,341.4455871582031,1400.0,1420.0,1370.0,1390.0,102681500
2009-09-28,341.4455871582031,1400.0,1440.0,1380.0,1410.0,209980000
2009-10-05,341.4455871582031,1400.0,1460.0,1390.0,1420.0,269460500
2009-10-12,356.0788879394531,1460.0,1470.0,1370.0,1380.0,284121500
2009-10-19,395.10125732421875,1620.0,1630.0,1430.0,1530.0,426782506
2009-10-26,375.590087890625,1540.0,1630.0,1440.0,1600.0,609844500
2009-11-02,375.590087890625,1540.0,1590.0,1490.0,1580.0,167663003
2009-11-09,417.0514221191406,1710.0,1710.0,1510.0,1540.0,492155503
2009-11-16,414.6125183105469,1700.0,1730.0,1660.0,1710.0,662531000
2009-11-23,407.2956848144531,1670.0,1770.0,1650.0,1770.0,678199000
2009-11-30,426.8069763183594,1750.0,1760.0,1670.0,1740.0,629098000
2009-12-07,426.8069763183594,1750.0,1780.0,1700.0,1750.0,394929504
2009-12-14,419.490234375,1720.0,1760.0,1710.0,1740.0,208477500
2009-12-21,417.4751892089844,1700.0,1730.0,1650.0,1680.0,140875500
2009-12-28,424.8424377441406,1730.0,1740.0,1710.0,1710.0,92328500
2010-01-04,481.32421875,1960.0,1980.0,1730.0,1750.0,621521503
2010-01-11,488.6914367675781,1990.0,2075.0,1910.0,1980.0,704199500
2010-01-18,476.412841796875,1940.0,2025.0,1900.0,1950.0,447913500
2010-01-25,464.1341247558594,1890.0,1950.0,1820.0,1940.0,558549000
2010-02-01,456.7669372558594,1860.0,1960.0,1830.0,1850.0,618763500
2010-02-08,451.8554382324219,1840.0,1860.0,1760.0,1840.0,587972000
2010-02-15,442.032470703125,1800.0,1890.0,1780.0,1830.0,429630000
2010-02-22,449.3996276855469,1830.0,1870.0,1790.0,1810.0,374350000
2010-03-01,454.3111572265625,1850.0,1860.0,1820.0,1840.0,311462500
2010-03-08,461.6784362792969,1880.0,1910.0,1860.0,1860.0,341590500
2010-03-15,461.6784362792969,1880.0,1930.0,1860.0,1870.0,418220500
2010-03-22,459.2226867675781,1870.0,1890.0,1820.0,1840.0,409777500
2010-03-29,497.2866516113281,2025.0,2050.0,1870.0,1890.0,823449000
2010-04-05,521.8439331054688,2125.0,2200.0,2025.0,2025.0,666127500
2010-04-12,546.4010620117188,2225.0,2250.0,2100.0,2150.0,469976500
2010-04-19,540.2619018554688,2200.0,2250.0,2125.0,2175.0,415094000
2010-04-26,540.2619018554688,2200.0,2225.0,2125.0,2200.0,260269500
